f, Y1, Y2, Y3, Y4
30.2,0.009655982,0.009172552,0.00940566,0.008118827
30.4,0.009656259,0.00940397,0.009129341,0.008170646
30.6,0.009561301,0.009657499,0.008907269,0.008292256
30.8,0.009394204,0.009932362,0.008803795,0.008478231
31.0,0.009206391,0.01022964,0.008808096,0.008713514
31.2,0.009072883,0.0105514,0.008863938,0.008985502
31.4,0.009053352,0.01089996,0.008910846,0.009286667
31.6,0.009162123,0.01127704,0.008919177,0.009613238
31.8,0.00938053,0.01168265,0.008911921,0.009963259
32.0,0.009682678,0.01211361,0.008947286,0.0103352
32.2,0.01004916,0.01256283,0.009071323,0.01072777
32.4,0.01046939,0.01302202,0.009294517,0.01114089
32.6,0.01093975,0.01349091,0.009604693,0.01157514
32.8,0.01146125,0.01398683,0.009986028,0.01202485
33.0,0.01203792,0.01453705,0.01042793,0.01246604
33.2,0.01267599,0.0151508,0.01092624,0.01284652
33.4,0.01338383,0.0157943,0.01148174,0.01308683
33.6,0.01417121,0.01638241,0.01209825,0.01310563
33.8,0.01504561,0.01678281,0.01278081,0.01287909
34.0,0.01600453,0.01684007,0.01353324,0.01249761
34.2,0.01702446,0.01643606,0.01435476,0.01214389
34.4,0.01804671,0.01557513,0.0152349,0.0119922
34.6,0.01896333,0.01442187,0.01614721,0.01212891
34.8,0.01961899,0.01322886,0.01704436,0.01254955
35.0,0.01985496,0.01220948,0.0178573,0.01319425
35.2,0.01959395,0.01145479,0.01849459,0.01397175
35.4,0.01889051,0.0109209,0.0188345,0.01475993
35.6,0.01787396,0.01046986,0.01873163,0.01539887
35.8,0.01665058,0.009947863,0.01807983,0.01570615
36.0,0.0152848,0.009268858,0.01690162,0.0155372
36.2,0.01384303,0.008449288,0.01536102,0.01486489
36.4,0.01240872,0.007575012,0.01367706,0.0138018
36.6,0.01105778,0.006745951,0.01202989,0.01253456
36.8,0.009837671,0.006044794,0.01052658,0.0112357
37.0,0.008766932,0.005528005,0.009213922,0.01002008
37.2,0.007844397,0.005216159,0.008103633,0.008947038
37.4,0.007057718,0.005081605,0.007191776,0.008039246
37.6,0.006388394,0.005054615,0.006468843,0.007298693
37.8,0.005815376,0.005054224,0.005921557,0.006714012
38.0,0.005319557,0.00502375,0.00552835,0.006260953
38.2,0.00488804,0.004948257,0.005252663,0.005902754
38.4,0.004515373,0.004842941,0.005042202,0.005598604
38.6,0.004201935,0.004722908,0.004841553,0.005319974
38.8,0.003951907,0.004580348,0.004613631,0.005062279
39.0,0.003771815,0.004386499,0.004352925,0.004842146
39.2,0.00366879,0.00411388,0.004080242,0.004685478
39.4,0.00364785,0.003758385,0.003827261,0.004616558
39.6,0.003709403,0.003345056,0.003624066,0.004651525
39.8,0.003848962,0.002921871,0.003493207,0.004793445
40.0,0.004057638,0.002556025,0.003446749,0.005027002
40.2,0.004319125,0.002330676,0.003483163,0.005315554
40.4,0.004604892,0.002312082,0.003584118,0.005606379
40.6,0.004876608,0.002488552,0.003713786,0.005846815
40.8,0.005099224,0.002773152,0.003824472,0.006003722
41.0,0.005254825,0.003074753,0.00387179,0.006072317
41.2,0.005345568,0.003340221,0.003836032,0.006069436
41.4,0.005386046,0.003552721,0.003735629,0.006019977
41.6,0.005393708,0.003716055,0.003619349,0.005946695
41.8,0.005383078,0.003841579,0.003542685,0.005866174
42.0,0.005364038,0.003941118,0.003547261,0.005788882
42.2,0.005342332,0.004024284,0.003653582,0.005720683
42.4,0.005320871,0.004098016,0.003862936,0.005664433
42.6,0.005301227,0.00416693,0.004160666,0.005621187
42.8,0.005285033,0.004233815,0.004517802,0.005590993
43.0,0.005274807,0.004300032,0.004893232,0.005573384
43.2,0.005273684,0.004365794,0.005240515,0.005567667
43.4,0.005284246,0.004430377,0.005520136,0.005573092
43.6,0.005307481,0.004492426,0.005711297,0.005588953
43.8,0.005342676,0.004550569,0.005815218,0.005614633
44.0,0.005388079,0.004604435,0.005848696,0.005649591
44.2,0.005441739,0.004655768,0.005834118,0.005693302
44.4,0.00550227,0.004708756,0.005792052,0.005745176
44.6,0.005569438,0.004768867,0.005738065,0.005804529
44.8,0.005644425,0.004840777,0.005682441,0.005870607
45.0,0.005729456,0.004926908,0.005631091,0.005942667
45.2,0.005826815,0.005027318,0.005586707,0.006020027
45.4,0.005937611,0.005140405,0.005549915,0.006101941
45.6,0.006060538,0.005263586,0.005520445,0.006187198
45.8,0.006190433,0.005393513,0.005498191,0.006273527
46.0,0.006316729,0.005525826,0.005483784,0.006357165
46.2,0.006423007,0.00565457,0.005478414,0.006432928
46.4,0.006489581,0.005771446,0.005483102,0.006494968
46.6,0.006499914,0.005865196,0.005498,0.006538114
46.8,0.006448694,0.005921699,0.005522119,0.006559057
47.0,0.006347018,0.005925656,0.005553402,0.006556136
47.2,0.006220556,0.005864619,0.00558888,0.006527184
47.4,0.006100689,0.00573487,0.005624777,0.006467074
47.6,0.006013776,0.00554623,0.005656635,0.006367932
47.8,0.005974663,0.005321689,0.005679764,0.006223436
48.0,0.005986395,0.005090456,0.005690275,0.006035171
48.2,0.006043703,0.004878277,0.005686777,0.005816647
48.4,0.006136974,0.004700975,0.005672096,0.005591461
48.6,0.006254888,0.004564164,0.005653701,0.005386312
48.8,0.006385606,0.004467441,0.005641811,0.005223152
49.0,0.00651718,0.004409086,0.005645879,0.00511457
49.2,0.006638084,0.004388265,0.005671569,0.005063491
49.4,0.006738636,0.004404539,0.005719763,0.005065813
49.6,0.006813555,0.004456511,0.005787368,0.005113885
49.8,0.006864741,0.004541264,0.005868725,0.005199326
50.0,0.006902175,0.004654812,0.005956808,0.005314694
50.2,0.006941193,0.004792951,0.006044103,0.005454147
50.4,0.006996862,0.004951921,0.006123567,0.00561349
50.6,0.007078569,0.005128726,0.006190074,0.005789902
50.8,0.007187558,0.005321183,0.006242297,0.005981526
51.0,0.007317762,0.005527814,0.006284183,0.006187019
51.2,0.007458684,0.005747667,0.006324724,0.006405142
51.4,0.007599137,0.005980096,0.006375468,0.006634476
51.6,0.007731136,0.006224522,0.006446933,0.006873313
51.8,0.00785296,0.006480162,0.00654594,0.007119642
52.0,0.007969845,0.006745747,0.006674914,0.007371072
52.2,0.008091202,0.007019193,0.00683259,0.007624622
52.4,0.008225296,0.007297264,0.007014951,0.007876442
52.6,0.00837398,0.00757532,0.00721571,0.008121667
52.8,0.008529817,0.007847371,0.00742623,0.008354717
53.0,0.00867627,0.008106809,0.007635118,0.008570325
53.2,0.008790609,0.008348116,0.007827769,0.008765247
53.4,0.008849145,0.008569333,0.007986315,0.008939918
53.6,0.008834225,0.008774186,0.008090662,0.009098757
53.8,0.008741283,0.00897214,0.00812135,0.009248191
54.0,0.008582942,0.00917535,0.00806436,0.009393144
54.2,0.008387556,0.00939345,0.007916673,0.009534135
54.4,0.0081924,0.009628655,0.007689896,0.009666904
54.6,0.008034673,0.009873339,0.00740936,0.009784599
54.8,0.007944083,0.01011083,0.007108374,0.009880768
55.0,0.007939053,0.01031903,0.006820106,0.009951015
55.2,0.008026478,0.01047627,0.006570479,0.009992598
55.4,0.008203838,0.01056809,0.006374152,0.01000338
55.6,0.008462268,0.0105926,0.006233844,0.009982362
55.8,0.008789519,0.01056184,0.00614227,0.009932344
56.0,0.009172096,0.01049773,0.006085794,0.009862609
56.2,0.009596105,0.01042421,0.006049005,0.009788761
56.4,0.01004648,0.01035904,0.006019426,0.009728785
56.6,0.01050485,0.01030812,0.005991207,0.009697321
56.8,0.01094716,0.01026374,0.005966532,0.009701405
57.0,0.01134281,0.01020711,0.005954019,0.009739857
57.2,0.01165693,0.01011448,0.00596471,0.009806408
57.4,0.01185601,0.009965169,0.006007349,0.009894808
57.6,0.01191566,0.009748688,0.006084748,0.01000322
57.8,0.01182708,0.009467935,0.00619225,0.01013549
58.0,0.01159929,0.009137746,0.006318462,0.01029845
58.2,0.01125587,0.008780205,0.006447856,0.01049663
58.4,0.01082823,0.008419288,0.006564598,0.01072696
58.6,0.01034836,0.008076717,0.006656617,0.01097574
58.8,0.009843632,0.007769502,0.006718667,0.011219
59.0,0.009334065,0.007508725,0.006753222,0.01142612
59.2,0.008831967,0.007299017,0.006768796,0.01156596
59.4,0.00834303,0.007138486,0.006776414,0.01161365
59.6,0.007868522,0.007019366,0.006785802,0.01155626
59.8,0.007408081,0.006929725,0.006802842,0.01139505
60.0,0.006962369,0.006856188,0.006829071,0.01114406
60.2,0.00653456,0.006786962,0.006862906,0.01082586
60.4,0.006130002,0.006713999,0.006901404,0.01046651
60.6,0.005754407,0.00663347,0.00694117,0.01009103
60.8,0.005411747,0.006544637,0.00697775,0.009720357
61.0,0.005103003,0.006448011,0.007004082,0.009369542
61.2,0.004826134,0.00634388,0.007009409,0.009047039
61.4,0.00457698,0.006231864,0.006979897,0.008754758
61.6,0.004350548,0.006111419,0.006901175,0.00848892
61.8,0.004142248,0.00598268,0.006761809,0.008241747
62.0,0.003948796,0.005846985,0.006556166,0.008003826
62.2,0.00376861,0.005706788,0.006285578,0.007766584
62.4,0.003601645,0.005565093,0.005957712,0.007524138
62.6,0.003448738,0.005424711,0.005584916,0.007274034
62.8,0.003310721,0.005287589,0.005182429,0.007016893
63.0,0.003187675,0.005154338,0.004767054,0.006755413
63.2,0.003078644,0.005024006,0.004356361,0.006493202
63.4,0.002981925,0.00489409,0.003968089,0.006233748
63.6,0.002895783,0.004760842,0.003619228,0.005979638
63.8,0.002819339,0.004619843,0.003324333,0.005732056
64.0,0.00275346,0.004466807,0.00309325,0.005490555
64.2,0.002701426,0.004298464,0.002929282,0.005253117
64.4,0.002669095,0.004113345,0.002829219,0.00501641
64.6,0.00266409,0.003912277,0.002785675,0.004776214
64.8,0.002693816,0.003698453,0.00279053,0.004527967
65.0,0.002762817,0.003477028,0.002837594,0.004267469
65.2,0.002870842,0.003254368,0.002923501,0.003991785
